Year,Reg,Group,Bra15,Bra16,Bra17,Bra18,Bra19,Bra20,Bra21,Bra22,Bra23,Bra24,Bra25,Bra26,Bra27,Bra28,Bra29,Bra30,Bra31,Bra32,Bra33,Bra34,Bra35,Bra36,Bra37,Bra38,Bra39,Bra40,Bra41,Bra42,Bra43,Bra44,Bra45,Bra46,Bra47,Bra48,Bra49,Bra50,Bra51,Bra52,Bra53,Bra54,Bra55
1989,1141,T,460,7044,32795,88143,142323,166232,177678,157115,137222,122129,112011,99092,87271,73505,67959,60324,47517,43557,41579,32712,29714,20968,17658,12407,7275,7716,4543,2336,1381,889,887,0,0,0,0,0,0,0,0,0,104
1989,1141,U,405,5731,30194,79956,139606,166949,186899,158567,134871,126499,113081,99282,88467,76113,67489,62284,48445,44357,41482,31460,28063,20101,17013,12059,6709,7214,3470,1380,1067,510,0,0,0,0,0,0,0,0,0,0,0
1989,1141,R,578,10040,39366,107169,148016,164802,160191,154306,141937,113438,109879,98703,84766,68073,68930,56448,45664,41893,41781,35384,33308,22894,19108,13190,8607,8942,7132,4624,2134,1761,2869,0,0,0,0,0,0,0,0,0,303
1989,1147,T,1343,7562,32896,90338,151377,184862,146937,138847,126161,99730,93666,85849,81902,69534,65015,58728,53997,47210,36258,33098,27765,24029,17803,12443,8859,6838,4348,2097,1125,829,514,456,0,0,0,0,0,0,0,0,0
1989,1147,U,1315,7385,32231,89908,150834,186514,146556,142938,125063,100808,94586,87928,83849,70888,66419,60118,56502,48787,36590,33209,28000,24628,17303,12348,8824,6550,4187,2220,1187,872,544,482,0,0,0,0,0,0,0,0,0
1989,1147,R,1698,10142,44709,96970,157959,167528,150519,102962,135764,90562,86191,68611,64815,57513,52202,45666,30133,31674,32802,31934,25305,17303,23810,13590,9308,10717,6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1149,T,858,8489,26298,68870,141585,182463,191502,179131,150360,151231,129089,118258,96909,91656,74231,69469,59902,50891,45120,35974,29911,23026,18261,12380,13906,7907,5557,3828,1235,870,528,0,506,0,0,0,0,0,0,0,0
1989,1149,U,281,7168,22152,50455,128848,160167,183162,170020,137714,147474,120566,111579,92024,86408,71288,64950,56775,48453,41920,31604,27329,20997,16048,9676,11351,7126,4167,2972,1151,1106,683,0,0,0,0,0,0,0,0,0,0
1989,1149,R,2733,13444,47453,162351,189773,253854,215861,204355,184711,161254,152214,136770,111003,107235,82878,83092,69693,58506,55177,50369,39028,30209,26118,22305,23312,10889,11123,7366,1581,0,0,0,2077,0,0,0,0,0,0,0,0
1989,1158,T,1714,8854,27871,69079,127912,176000,181992,176088,155402,140523,119430,108435,89608,85442,77256,70746,59135,50815,40592,35939,26112,23583,18302,14927,11011,8454,5319,3556,2614,1824,826,368,0,0,0,0,0,0,0,0,0
1989,1158,U,0,6106,17629,54328,106052,154242,171921,163177,146985,128693,108122,108391,82792,76573,70697,66826,57791,48258,36468,29722,23104,21297,15958,12074,9069,6231,4920,2625,1933,1009,0,0,0,0,0,0,0,0,0,0,0
1989,1158,R,6129,17326,70423,129447,198276,236990,207231,206802,175041,168136,146654,108546,106875,107539,94054,80978,62665,57858,52632,54165,35196,30554,25389,23470,16912,15488,6590,6539,4673,3953,2660,1101,0,0,0,0,0,0,0,0,0
1989,1140,T,625,6122,18017,42793,83961,111113,125800,127021,122955,116296,105029,96238,88781,79262,71360,64691,54339,44994,39357,34844,27171,22001,17823,13957,9600,7455,3937,2947,1709,763,338,135,0,0,0,23,0,24,0,0,36
1989,1140,U,625,6122,18017,42793,83961,111113,125800,127021,122955,116296,105029,96238,88781,79262,71360,64691,54339,44994,39357,34844,27171,22001,17823,13957,9600,7455,3937,2947,1709,763,338,135,0,0,0,23,0,24,0,0,36
1989,1140,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1989,3700,T,2934,13521,43935,100172,163966,193538,190539,173841,158485,141413,128730,115277,103044,89765,80057,70545,59927,49435,43315,36857,29981,23041,20404,14251,10662,8553,4310,3474,1777,783,402,94,101,10,9,16,24,0,10,0,0
1989,3700,U,2050,10130,31291,74586,134663,168528,170156,159572,144944,131314,120047,109677,97424,85186,77206,66246,56414,46922,40502,34633,27000,21992,19110,13153,9757,7119,3723,3051,1533,766,378,29,78,0,0,13,12,0,16,0,0
1989,3700,R,4592,20624,80037,181805,242586,252480,235318,202917,185119,160929,145303,126077,114051,98936,85808,79374,67334,54758,49401,41761,36693,25472,23437,16829,12798,12011,5754,4511,2380,822,449,213,142,27,24,23,45,0,0,0,0
1989,1179,T,1888,9697,32393,79922,155383,189423,207101,187097,161266,148952,136708,127307,112458,93230,86932,83902,58584,63555,47736,44498,34623,26379,20418,18197,14191,8223,6403,3672,1600,1519,0,0,397,0,0,0,0,0,0,0,0
