Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
1989,1166,R,B,4769,20902,23689,21733,17144,18608,24226,25435,21465,14832,16662,26166,30775,34759,23975,15192,16495,9176,5200
1989,1166,R,M,2393,10585,11948,10982,9849,10015,13127,14022,11840,7918,8315,12876,14377,12769,6797,3482,3219,1577,657
1989,1166,R,F,2377,10317,11741,10752,7295,8593,11100,11414,9626,6914,8348,13291,16398,21990,17178,11710,13276,7600,4543
1989,1168,T,B,17027,72769,86330,85622,83801,79988,98649,103841,94520,68185,70861,91332,87795,92062,56890,45352,47019,25693,13133
1989,1168,T,M,8621,36989,43554,43466,42846,41341,51363,53736,48194,34195,33258,41631,39854,35610,17505,12384,10830,4964,1946
1989,1168,T,F,8407,35780,42776,42157,40955,38648,47286,50106,46326,33990,37603,49701,47941,56452,39386,32968,36190,20730,11188
1989,1168,U,B,9900,42130,50858,49565,53981,49652,59333,64377,60447,43727,39240,47759,40645,44387,26848,21032,19902,10680,5715
1989,1168,U,M,4984,21385,25665,25062,26307,25034,29429,31558,29375,21351,18139,21463,17743,17328,8315,6195,5060,2249,944
1989,1168,U,F,4916,20746,25193,24503,27674,24619,29904,32819,31072,22376,21102,26296,22902,27060,18533,14837,14842,8431,4771
1989,1168,R,B,7127,30639,35472,36057,29820,30336,39316,39464,34073,24459,31621,43573,47150,47675,30042,24321,27118,15013,7419
1989,1168,R,M,3637,15604,17889,18404,16540,16307,21934,22178,18819,12845,15119,20168,22111,18282,9190,6190,5770,2715,1002
1989,1168,R,F,3491,15035,17583,17654,13281,14029,17382,17287,15254,11614,16502,23405,25039,29393,20853,18131,21348,12299,6417
1989,1128,T,B,21424,92514,111846,103198,99133,95215,125940,136235,125792,89484,78495,117422,114792,126435,78953,52020,51749,29349,14942
1989,1128,T,M,10829,47001,57026,52456,48491,46891,64263,70232,64262,45573,37270,54983,50409,49026,22764,13057,10351,4355,1671
1989,1128,T,F,10595,45514,54820,50743,50642,48324,61678,66003,61530,43911,41225,62439,64383,77409,56189,38964,41398,24994,13271
1989,1128,U,B,15019,65204,80719,75823,81547,73183,93790,102707,96340,69696,57733,84461,74580,81359,48294,31263,29071,16154,8212
1989,1128,U,M,7592,33179,41206,38517,39736,36173,46815,51391,47727,34670,26787,38067,32077,32421,14096,8419,6358,2591,989
1989,1128,U,F,7428,32025,39514,37307,41812,37011,46975,51317,48613,35026,30947,46394,42503,48938,34199,22844,22713,13564,7224
1989,1128,R,B,6405,27310,31127,27375,17586,22032,32151,33528,29453,19788,20762,32962,40212,45076,30659,20758,22678,13195,6730
1989,1128,R,M,3238,13822,15821,13939,8756,10719,17448,18841,16536,10903,10483,16916,18332,16605,8669,4638,3993,1765,683
1989,1128,R,F,3168,13489,15307,13436,8830,11314,14703,14687,12917,8886,10279,16046,21881,28471,21990,16120,18685,11430,6048
